This table shows the differential expression results for genes with absolute log2FC > 1.5 and adjusted p-value < 0.05 when comparing Lmx1a_E1 and Sox3U3 samples (Lmx1a_E1 - Sox3U3)
Reads are aligned to Galgal6 

Statistics:
Normalised count: read counts adjusted for library size
pvalue: unadjusted pvalue for differential expression test between Lmx1a_E1 and Sox3U3 samples
padj: pvalue for differential expression test between Lmx1a_E1 and Sox3U3 samples - adjusted for multiple testing (Benjamini and Hochberg) 
 
"gene_id","gene_name","counts_Lmx1a_E1_R1","counts_Lmx1a_E1_R2","counts_Lmx1a_E1_R3","counts_Lmx1a_E1_R4","counts_Sox3U3_R1","counts_Sox3U3_R2","counts_Sox3U3_R3","counts_Sox3U3_R4","norm_size.adj_Lmx1a_E1_R1","norm_size.adj_Lmx1a_E1_R2","norm_size.adj_Lmx1a_E1_R3","norm_size.adj_Lmx1a_E1_R4","norm_size.adj_Sox3U3_R1","norm_size.adj_Sox3U3_R2","norm_size.adj_Sox3U3_R3","norm_size.adj_Sox3U3_R4","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSGALG00000042686","FOXD3",476,450,1566,1319,318,148,73,19,907.910874084237,979.945591398278,934.393399371278,901.6805169663,99.0677019177576,115.549919751138,109.668262949854,27.1352861801589,509.418944077375,3.34686868757707,0.265354744125881,1.61726437459045e-37,1.12536719481117e-34
"ENSGALG00000045817","ENSGALG00000045817",63,71,291,497,57,28,17,12,120.164674511149,154.61363775395,173.632489921483,339.753765680251,17.7574182682773,21.8607956285937,25.5391845225687,17.1380754822056,108.80750522106,3.23047203501246,0.335268772430199,3.01945286906809e-23,6.20772060308863e-21
"ENSGALG00000047181","ENSGALG00000047181",21,7,24,21,2,2,4,1,40.0548915037163,15.2435980884177,14.3202053543491,14.3557929160669,0.623067307658853,1.56148540204241,6.00921988766323,1.42817295685047,11.6995541770956,3.01645900332608,0.830601548634465,7.1287002154696e-06,9.86782282312747e-05
"ENSGALG00000006252","LMO4",790,550,1808,916,475,150,177,112,1506.82687085409,1197.71127837567,1078.78880336096,626.18601481511,147.978485568978,117.111405153181,265.907980029098,159.955371167252,637.558276165543,2.63314602408679,0.267151452390957,2.96475379580703e-24,6.54125922850498e-22
"ENSGALG00000054138","ENSGALG00000054138",89,151,545,415,198,60,27,13,169.756444944322,328.826187335867,325.187996588344,283.697812388942,61.6836634582264,46.8445620612723,40.5622342417268,18.5662484390561,159.390643682219,2.60951670459911,0.294800869122676,1.05700837295606e-19,1.49401527215008e-17
"ENSGALG00000054650","ENSGALG00000054650",188,201,598,541,217,97,40,39,358.586647747556,437.709030824564,356.811783412531,369.832569885344,67.6028028809855,75.7320419990568,60.0921988766323,55.6987453171682,222.75822761798,2.50247574367599,0.181450937376125,2.66908169075006e-44,3.01806412181563e-41
"ENSGALG00000025207","gga-mir-1462",6,10,26,22,9,2,3,0,11.4442547153475,21.7765686977395,15.5135558005448,15.0394021025463,2.80380288446484,1.56148540204241,4.50691491574742,0,9.08074806480411,2.41644178949492,0.744155601142361,6.63251985997505e-05,0.000667383477790148
"ENSGALG00000040730","RXRG",990,925,3489,3740,1375,629,277,185,1888.30202803234,2014.3326045409,2081.7998533885,2556.69835743287,428.358774015461,491.087158942337,416.138477220679,264.211997017336,1267.6161563238,2.38545939914738,0.183927048024473,1.43323002787992e-39,1.12739120280015e-36
"ENSGALG00000016912","EDNRB",154,125,369,221,179,42,30,25,293.735871027253,272.207108721744,220.173157323117,151.077630211943,55.7645240354673,32.7911934428906,45.0691491574742,35.7043239212617,138.315369730144,2.37158499584647,0.267604041490521,5.83513707912387e-20,8.51365322867009e-18
"ENSGALG00000054130","PPOX",14,9,218,137,52,22,5,2,26.7032610024776,19.5989118279656,130.075198635338,93.6544585476748,16.1997499991302,17.1763394224665,7.51152485957904,2.85634591370093,39.2219737760415,2.32943979500701,0.582305496661953,4.49416986680864e-06,6.5836859295791e-05
